@relation synthetic_anomaly_detection_stream_data_51anomalies

@attribute x numeric
@attribute y numeric
@attribute is_anomaly {0,1}

@data
0.22,0.26,0
0.18,0.34,0
0.34,0.25,0
0.3,0.31,0
0.29,0.28,0
0.22,0.25,0
0.28,0.18,0
0.26,0.24,0
0.27,0.28,0
0.27,0.26,0
0.31,0.18,0
0.26,0.29,0
0.27,0.17,0
0.17,0.29,0
0.19,0.27,0
0.2,0.21,0
0.26,0.24,0
0.2,0.17,0
0.28,0.29,0
0.2,0.3,0
0.19,0.29,0
0.32,0.18,0
0.18,0.27,0
0.19,0.23,0
0.24,0.18,0
0.17,0.2,0
0.25,0.34,0
0.24,0.26,0
0.32,0.25,0
0.25,0.24,0
0.22,0.35,0
0.21,0.27,0
0.2,0.32,0
0.27,0.32,0
0.19,0.2,0
0.16,0.2,0
0.24,0.28,0
0.27,0.27,0
0.27,0.29,0
0.27,0.23,0
0.17,0.25,0
0.32,0.23,0
0.25,0.19,0
0.18,0.22,0
0.21,0.22,0
0.18,0.27,0
0.3,0.19,0
0.28,0.25,0
0.2,0.25,0
0.18,0.27,0
0.32,0.22,0
0.34,0.29,0
0.28,0.25,0
0.27,0.15,0
0.3,0.25,0
0.25,0.24,0
0.32,0.16,0
0.24,0.22,0
0.23,0.29,0
0.23,0.31,0
0.31,0.24,0
0.27,0.33,0
0.22,0.33,0
0.3,0.21,0
0.72,0.79,1
0.25,0.29,0
0.21,0.18,0
0.25,0.25,0
0.21,0.23,0
0.23,0.27,0
0.3,0.31,0
0.29,0.3,0
0.29,0.3,0
0.3,0.15,0
0.26,0.29,0
0.18,0.26,0
0.28,0.22,0
0.33,0.33,0
0.24,0.31,0
0.27,0.23,0
0.24,0.3,0
0.27,0.27,0
0.18,0.23,0
0.18,0.19,0
0.2,0.29,0
0.24,0.2,0
0.25,0.27,0
0.28,0.28,0
0.25,0.3,0
0.29,0.18,0
0.16,0.27,0
0.27,0.32,0
0.24,0.33,0
0.29,0.29,0
0.19,0.18,0
0.21,0.18,0
0.18,0.25,0
0.25,0.28,0
0.33,0.28,0
0.17,0.21,0
0.34,0.27,0
0.25,0.27,0
0.26,0.2,0
0.24,0.3,0
0.27,0.26,0
0.26,0.26,0
0.75,0.68,1
0.24,0.28,0
0.31,0.22,0
0.32,0.26,0
0.31,0.25,0
0.2,0.22,0
0.25,0.28,0
0.22,0.18,0
0.27,0.24,0
0.18,0.27,0
0.27,0.28,0
0.23,0.24,0
0.25,0.19,0
0.29,0.34,0
0.16,0.35,0
0.33,0.27,0
0.28,0.15,0
0.27,0.19,0
0.17,0.23,0
0.27,0.22,0
0.3,0.33,0
0.22,0.24,0
0.27,0.17,0
0.3,0.21,0
0.2,0.21,0
0.28,0.3,0
0.31,0.25,0
0.27,0.26,0
0.21,0.19,0
0.23,0.31,0
0.3,0.29,0
0.16,0.23,0
0.32,0.28,0
0.27,0.17,0
0.33,0.29,0
0.29,0.31,0
0.32,0.23,0
0.3,0.28,0
0.27,0.23,0
0.2,0.23,0
0.24,0.27,0
0.26,0.27,0
0.27,0.19,0
0.28,0.24,0
0.34,0.22,0
0.24,0.3,0
0.21,0.22,0
0.16,0.28,0
0.22,0.28,0
0.23,0.25,0
0.29,0.22,0
0.21,0.34,0
0.27,0.23,0
0.25,0.24,0
0.28,0.29,0
0.27,0.25,0
0.23,0.2,0
0.27,0.22,0
0.3,0.24,0
0.2,0.35,0
0.2,0.22,0
0.25,0.23,0
0.29,0.27,0
0.23,0.25,0
0.24,0.25,0
0.27,0.26,0
0.25,0.23,0
0.26,0.28,0
0.26,0.25,0
0.21,0.3,0
0.25,0.28,0
0.22,0.33,0
0.75,0.83,1
0.26,0.27,0
0.22,0.17,0
0.24,0.24,0
0.31,0.25,0
0.25,0.2,0
0.17,0.33,0
0.27,0.25,0
0.32,0.22,0
0.22,0.19,0
0.18,0.21,0
0.19,0.31,0
0.31,0.24,0
0.32,0.25,0
0.29,0.31,0
0.25,0.22,0
0.26,0.18,0
0.23,0.27,0
0.22,0.25,0
0.23,0.25,0
0.17,0.32,0
0.31,0.23,0
0.27,0.24,0
0.3,0.27,0
0.21,0.15,0
0.29,0.17,0
0.31,0.21,0
0.29,0.29,0
0.27,0.22,0
0.2,0.25,0
0.23,0.21,0
0.17,0.27,0
0.19,0.28,0
0.16,0.24,0
0.3,0.31,0
0.2,0.24,0
0.25,0.25,0
0.24,0.24,0
0.19,0.27,0
0.21,0.24,0
0.77,0.76,1
0.78,0.8,1
0.72,0.84,1
0.26,0.17,0
0.29,0.25,0
0.22,0.26,0
0.28,0.23,0
0.23,0.25,0
0.18,0.16,0
0.25,0.25,0
